10_S43_R2.fastq	R2	14769552
11B_S54_R1.fastq	R1	10753611
11B_S54_R2.fastq	R2	10753611
11C_S56_R1.fastq	R1	16893294
11C_S56_R2.fastq	R2	16893294
11_S44_R1.fastq	R1	1162
11_S44_R2.fastq	R2	1162
12_S45_R1.fastq	R1	21395271
12_S45_R2.fastq	R2	21395271
13_S46_R1.fastq	R1	11629719
13_S46_R2.fastq	R2	11629719
14_S47_R1.fastq	R1	7348740
14_S47_R2.fastq	R2	7348740
15_S48_R1.fastq	R1	7549948
15_S48_R2.fastq	R2	7549948
16_S49_R1.fastq	R1	12548916
16_S49_R2.fastq	R2	12548916
17_S50_R1.fastq	R1	12778158
17_S50_R2.fastq	R2	12778158
18_S51_R1.fastq	R1	7505338
18_S51_R2.fastq	R2	7505338
19_S52_R1.fastq	R1	13443836
19_S52_R2.fastq	R2	13443836
1_S33_R1.fastq	R1	12690142
1_S33_R2.fastq	R2	12690142
20_S53_R1.fastq	R1	14603144
20_S53_R2.fastq	R2	14603144
2B_S55_R1.fastq	R1	17622751
2B_S55_R2.fastq	R2	17622751
2_S34_R1.fastq	R1	13817
2_S34_R2.fastq	R2	13817
3_S35_R1.fastq	R1	12333479
3_S35_R2.fastq	R2	12333479
4_S36_R1.fastq	R1	8340902
4_S36_R2.fastq	R2	8340902
5A_S37_R1.fastq	R1	15322495
5A_S37_R2.fastq	R2	15322495
5B_S38_R1.fastq	R1	1929528
5B_S38_R2.fastq	R2	1929528
6_S39_R1.fastq	R1	22896497
6_S39_R2.fastq	R2	22896497
7_S40_R1.fastq	R1	15481149
7_S40_R2.fastq	R2	15481149
8_S41_R1.fastq	R1	11561609
8_S41_R2.fastq	R2	11561609
9_S42_R1.fastq	R1	17927791
9_S42_R2.fastq	R2	17927791
AGRF_01_R1.fastq	R1	10980194
AGRF_01_R2.fastq	R2	10980194
AGRF_02_R1.fastq	R1	10006090
AGRF_02_R2.fastq	R2	10006090
AGRF_03_R1.fastq	R1	7966333
AGRF_03_R2.fastq	R2	7966333
AGRF_04_R1.fastq	R1	8470598
AGRF_04_R2.fastq	R2	8470598
AGRF_05_R1.fastq	R1	9024445
AGRF_05_R2.fastq	R2	9024445
AGRF_06_R1.fastq	R1	8421902
AGRF_06_R2.fastq	R2	8421902
AGRF_07_R1.fastq	R1	8894067
AGRF_07_R2.fastq	R2	8894067
AGRF_08_R1.fastq	R1	10309394
AGRF_08_R2.fastq	R2	10309394
AGRF_09_R1.fastq	R1	9499315
AGRF_09_R2.fastq	R2	9499315
AGRF_10_R1.fastq	R1	8525522
AGRF_10_R2.fastq	R2	8525522
AGRF_11_R1.fastq	R1	9514060
AGRF_11_R2.fastq	R2	9514060
AGRF_12_R1.fastq	R1	8996673
AGRF_12_R2.fastq	R2	8996673
AGRF_13_R1.fastq	R1	8757311
AGRF_13_R2.fastq	R2	8757311
AGRF_14_R1.fastq	R1	7557273
AGRF_14_R2.fastq	R2	7557273
AGRF_15_R1.fastq	R1	7756661
AGRF_15_R2.fastq	R2	7756661
AGRF_16_R1.fastq	R1	9061993
AGRF_16_R2.fastq	R2	9061993
AGRF_17_R1.fastq	R1	7821664
AGRF_17_R2.fastq	R2	7821664
AGRF_18_R1.fastq	R1	8610810
AGRF_18_R2.fastq	R2	8610810
14DON003_R1.fastq	R1	15878153
14DON003_R2.fastq	R2	15878153
15CUR001_R1.fastq	R1	18465653
15CUR001_R2.fastq	R2	18465653
15CUR002_R1.fastq	R1	18949321
15CUR002_R2.fastq	R2	18949321
15DON007_R1.fastq	R1	18213875
15DON007_R2.fastq	R2	18213875
16CUR017_R1.fastq	R1	20111253
16CUR017_R2.fastq	R2	20111253
16CUR019_R1.fastq	R1	19961105
16CUR019_R2.fastq	R2	19961105
CUR003_R1.fastq	R1	18619852
CUR003_R2.fastq	R2	18619852
DON001_R1.fastq	R1	20218906
DON001_R2.fastq	R2	20218906
F15023_R1.fastq	R1	17304497
F15023_R2.fastq	R2	17304497
F15025_R1.fastq	R1	21516037
F15025_R2.fastq	R2	21516037
F15028_R1.fastq	R1	16690417
F15028_R2.fastq	R2	16690417
F15029_R1.fastq	R1	17718036
F15029_R2.fastq	R2	17718036
F16253-1_R1.fastq	R1	15373428
F16253-1_R2.fastq	R2	15373428
FT13092-2_R1.fastq	R1	18588991
FT13092-2_R2.fastq	R2	18588991
FT13092-4_R1.fastq	R1	16367924
FT13092-4_R2.fastq	R2	16367924
FT13092-6_R1.fastq	R1	18110492
FT13092-6_R2.fastq	R2	18110492
FT15030_R1.fastq	R1	16271825
FT15030_R2.fastq	R2	16271825
TR6400_R1.fastq	R1	17083011
TR6400_R2.fastq	R2	17083011
TR6408_R1.fastq	R1	18431918
TR6408_R2.fastq	R2	18431918
TR6417_R1.fastq	R1	23104615
TR6417_R2.fastq	R2	23104615
10_S43_R1.fastq	R1	14769552
